algorithm,threshold,predictedDrift,TP,FP,FN,Sensitivity,Precision
ADWIN,0.5,20,18,0,2.0,0.9,1.0
ADWIN,0.75,20,20,0,0.0,1.0,1.0
ADWIN,1.25,20,20,0,0.0,1.0,1.0
ADWIN,1.75,20,20,0,0.0,1.0,1.0
GMADM,0.5,4,0,0,4.0,0.0,1.0
GMADM,0.75,4,1,0,3.0,0.25,1.0
GMADM,1.25,4,3,0,1.0,0.75,1.0
GMADM,1.75,4,3,0,1.0,0.75,1.0
CUSUM,0.5,11,8,1,2.0,0.8,0.8888888888888888
CUSUM,0.75,11,8,1,2.0,0.8,0.8888888888888888
CUSUM,1.25,11,10,1,0.0,1.0,0.9090909090909091
CUSUM,1.75,11,10,1,0.0,1.0,0.9090909090909091
PageHinkley,0.5,4,1,2,1.0,0.5,0.3333333333333333
PageHinkley,0.75,4,1,2,1.0,0.5,0.3333333333333333
PageHinkley,1.25,4,1,2,1.0,0.5,0.3333333333333333
PageHinkley,1.75,4,1,2,1.0,0.5,0.3333333333333333
